ids	label	local	date	chanel_depth	wind	distance	image_id
6	Passengers	Cangas ships departure	2013/7/10	4.8	0	0-50	4
7	Passengers	Cangas ships departure	2013/7/10	4.8	0	0-50	4
8	Passengers	Cangas ships departure	2013/7/10	4.8	0	0-50	2
9	Passengers	Cangas ships departure	2013/7/10	4.8	0	0-50	2
10	Passengers	Cangas ships departure	2013/7/10	4.8	0	0-50	2
11	Passengers	Cangas ships departure	2013/7/10	4.8	0	0-50	5
12	Passengers	Cangas ships departure	2013/7/10	4.8	0	0-50	5
13	Passengers	Cangas ships departure	2013/7/10	4.8	0	0-50	3
14	Passengers	Cangas ships departure	2013/7/10	4.8	0	0-50	3
15	Tugboat	Ocean liners harbour	2013/7/10	9.1	0	0-50	N.A.
16	Ocean liner	Ocean liner harbour	2013/7/10	9.1	0	0-50	7
17	Passengers	Cangas ships departure	2013/7/10	4.8	0	0-50	6
18	RORO	Bouzas Cove	2013/7/18	7.5	2	0-50	9
19	RORO	Bouzas Cove	2013/7/18	7.5	2	0-50	9
20	RORO	Bouzas Cove	2013/7/18	7.5	2	0-50	9
21	Motorboat	Bouzas Cove	2013/7/18	9.1	0	0-50	8
22	Ocean liner	In front of ocean liners harbour	2013/7/19	5.8	0	0-50	17
23	Ocean liner	In front of ocean liners harbour	2013/7/19	5.8	0	0-50	17
24	Ocean liner	In front of ocean linersOcean liner harbour	2013/7/19	5.8	0	0-50	17
25	Ocean liner	In front of ocean liners harbour	2013/7/19	5.8	0	0-50	17
26	Motorboat	In front of ocean liners harbour	2013/7/19	5.8	0	0-50	13
27	Motorboat	In front of ocean liners harbour	2013/7/19	5.8	0	0-50	13
28	Trawler	In front of ocean liners harbour	2013/7/19	5.8	0	0-50	14
29	Pilot ship	In front of ocean liners harbour	2013/7/19	5.8	0	0-50	16
30	Pilot ship	In front of ocean liners harbour	2013/7/19	5.8	0	0-50	16
31	Tugboat	In front of ocean liners harbour	2013/7/19	5.8	0	0-50	15
32	Passengers	Red lighthouse at the port	2013/7/19	5.8	13	0-50	10
33	Motorboat	Red lighthouse at the port	2013/7/19	5.8	13	0-50	11
34	Passengers	Red lighthouse at the port	2013/7/19	5.8	13	0-50	2
35	Passengers	Red lighthouse at the port	2013/7/19	5.8	13	0-50	2
36	Passengers	Red lighthouse at the port	2013/7/19	5.8	13	0-50	5
37	Sailboat	Red lighthouse at the port	2013/7/19	5.8	13	0-50	18
38	Passengers	Red lighthouse at the port	2013/7/19	5.8	13	0-50	10
39	Motorboat	Red lighthouse at the port	2013/7/19	5.8	13	0-50	11
40	Passengers	Red lighthouse at the port	2013/7/19	5.8	13	0-50	4
41	Passengers	Red lighthouse at the port	2013/7/19	5.8	13	0-50	5
42	Passengers	Red lighthouse at the port	2013/7/19	5.8	13	0-50	3
43	Passengers	Red lighthouse at the port	2013/7/19	5.8	13	0-50	3
45	Motorboat	Red lighthouse at the port	2013/7/19	5.8	13	0-50	12
46	Mussel boat	Vigo sea loch - Zone 1	2013/7/23	15	10.5	50-100	19
47	Mussel boat	Vigo sea loch - Zone 1	2013/7/23	15	10.5	0-50	23
48	Mussel boat	Vigo sea loch - Zone 1	2013/7/23	15	10.5	0-50	25
49	Mussel boat	Vigo sea loch - Zone 1	2013/7/23	15	10.5	0-50	28
